domena,ID reg,ID drzitela,Stav domeny,NS1,NS2,NS3,NS4,datum exspiracie
rossumcafe.sk,WEBS-0001,WS-71626,OK,ns1.websupport.sk,ns2.websupport.sk,ns3.websupport.sk,,03.08.2020
rotadent.sk,ELBI-0002,ROTA-0021,OK,ns.inetadmin.eu,ns.inetadmin.sk,ns.inetadmin.cz,,14.11.2020
rotex.sk,WEBS-0001,ROTE-0003-4025,OK,ns1.websupport.sk,ns2.websupport.sk,ns3.websupport.sk,,02.11.2020
rottweilerfadyla.sk,ISKI-0001,EVAB-0038,OK,ns.forpsi.net,ns.forpsi.us,ns.forpsi.cz,,18.06.2020
roulageplus.sk,WEBS-0001,WS-65037,OK,ns1.websupport.sk,ns2.websupport.sk,ns3.websupport.sk,,03.04.2020
rovelli.sk,WEBS-0001,WS-66087,OK,ns1.websupport.sk,ns2.websupport.sk,ns3.websupport.sk,,23.04.2020
rovinka.sk,ELBI-0002,CLIP-0004,OK,ns.inetadmin.eu,ns.inetadmin.sk,ns.inetadmin.cz,,25.09.2020
rovnamezuby.sk,WEBS-0001,WS-20083,OK,ns1.websupport.sk,ns2.websupport.sk,ns3.websupport.sk,,18.04.2020
rovnosaty.sk,WEBS-0001,WS-33215,OK,ns1.websupport.sk,ns2.websupport.sk,ns3.websupport.sk,,07.11.2020
rovnovaha.sk,WEBS-0001,WS-37464,OK,ns1.websupport.sk,ns2.websupport.sk,ns3.websupport.sk,,13.08.2020
rovyvon.sk,WEBS-0001,WS-6285,OK,ns1.websupport.sk,ns2.websupport.sk,ns3.websupport.sk,,15.06.2020
